Название,Адрес,Начало строительства,Мэр,Широта,Долгота,Срок сдачи,Новый срок сдачи,Ссылка на vl.ru,Картинка,Застройщик
Жилой комплекс “Снеговая падь”,"Снеговая падь, д.1",01.01.17,Константин Лобода,"43,16764","131,955598",30.03.18,31.12.19,https://www.vl.ru/snegovaya-pad-ns ,https://static.vl.ru/catalog/1571376503330_small.jpg,Единая дирекция по строительству объектов на территории Приморского края 
"Варяг-центр, д.1","ул. Русская, 89 стр. 1",01.10.16,Константин Лобода,"43,17473","131,936249",31.12.17,31.12.19,https://www.vl.ru/varyag-centr ,https://static.vl.ru/catalog/1571376726312_small.jpg,"ООО ""РЕГИОН-П"" "
Сафонов,"ул. Сафонова, 7",01.10.16,Константин Лобода,"43,097535","131,948622",30.09.18,31.12.19,https://www.vl.ru/safonova-7 ,https://static.vl.ru/catalog/1570594503277_small.jpg,"ООО СК ""АВРОРА-СТРОЙ"""
"Фрегат-2, д.2","ул. Нейбута, 17 кор. 2",11.07.16,Константин Лобода,"43,102865","131,962407",11.04.18,31.12.20,https://www.vl.ru/fregat2 ,https://static.vl.ru/catalog/1569377645643_small.jpg,"ООО ""Жилкапинвест"""
Вертикаль,"ул. Леонова, 70",01.07.16,Константин Лобода,"43,087548","131,855738",31.12.18,31.12.19,https://www.vl.ru/vertikal-zhk ,https://static.vl.ru/catalog/1570087726058_small.jpg,"ООО ""ЗеленХоз"" (Eskadra Development) "
Аркада Арт,"ул. Фастовская, 33 стр. 1",01.04.16,Игорь Пушкарёв ,"43,100054","131,896453",30.06.18,31.03.20,https://www.vl.ru/arkada-art,https://static.vl.ru/catalog/1570593907790_small.jpg,"ООО ИСК ""АРКАДА"" "
"Лайф, д.3","ул. Русская, 61Д стр. 1",01.03.16,Игорь Пушкарёв ,"43,178338","131,934111",31.12.17,17.03.20,https://www.vl.ru/life-ns ,https://static.vl.ru/catalog/1571376826644_small.jpg,"ООО ""ВЕРНО ПАСИФИК ГРУПП"" "
"Лайф, д.4","ул. Русская, 61Д стр. 2 ",01.03.16,Игорь Пушкарёв ,"43,178051","131,934853",31.12.17,17.03.20,https://www.vl.ru/life-ns ,https://static.vl.ru/catalog/1571376837029_small.jpg,"ООО ""ВЕРНО ПАСИФИК ГРУПП"" "
Эко Сити,"ул. Поселковая 2-я, 15 стр. 1 ",01.10.15,Игорь Пушкарёв ,"43,083877","131,90217",30.06.18,30.09.20,https://www.vl.ru/eko-siti ,https://static.vl.ru/catalog/1570594158621_small.jpg,ООО «Эко плюс»
"Солнечная долина, д.1","ул. 50 лет Октября, 1 стр. 2 ",01.04.15,Игорь Пушкарёв ,"43,3021","132,110974",30.09.18,30.03.25,https://www.vl.ru/solnechnaya-dolina ,https://static.vl.ru/catalog/1548124758607_small.jpg,"ООО ИСГ ""Стройинвест"""
"Солнечная долина, д.2","ул. 50 лет Октября, 1 стр. 3",01.04.15,Игорь Пушкарёв ,"43,302562","132,111788",30.09.18,30.03.25,https://www.vl.ru/solnechnaya-dolina ,https://static.vl.ru/catalog/1548124766913_small.jpg,"ООО ИСГ ""Стройинвест"""
"Солнечная долина, д.3","ул. 50 лет Октября, 1 стр. 4",01.04.15,Игорь Пушкарёв ,"43,30128","132,111553",30.09.18,30.03.25,https://www.vl.ru/solnechnaya-dolina ,https://static.vl.ru/catalog/1548124769177_small.jpg,"ООО ИСГ ""Стройинвест"""
"Солнечная долина, д.4","ул. 50 лет Октября, 1 стр. 5",01.04.15,Игорь Пушкарёв ,"43,301375","132,112245",30.09.18,30.03.25,https://www.vl.ru/solnechnaya-dolina ,https://static.vl.ru/catalog/1548124777295_small.jpg,"ООО ИСГ ""Стройинвест"""
"Лайф, д.2","ул. Русская, 61Г",01.03.15,Игорь Пушкарёв ,"43,176038","131,93271",30.06.16,17.03.20,https://www.vl.ru/life-ns ,https://static.vl.ru/catalog/1571376807155_small.jpg,"ООО ""ВЕРНО ПАСИФИК ГРУПП"" "
